INSTANCE	Status MtMS	Cost SOC MtMS	Time SOC MtMS	Status ASP Base E	Cost SOC Status ASP Base E	Time SOC ASP Base E	Status Base F	Cost SOC Base F	Time SOC Base F	Status CBS	Cost SOC CBS	Time SOC CBS	Status BCP	Cost SOC BCP	Time SOC BCP
Instance-20-10-56-6_enc1	0	795	40,61	1	-1	600	0	795	39,8119804859161	3	-1	600	0	795	2,19
Instance-20-10-56-7_enc1	0	780	57,13	1	-1	600	0	780	37,7976305484772	3	-1	600	0	780	133,96
Instance-20-10-56-8_enc1	0	773	12,31	0	773	38,0418956279755	0	773	16,4528062343597	0	773	1,57274	0	773	1,73
Instance-20-10-56-9_enc1	0	852	9,87	0	852	47,6669473648071	0	852	14,3551061153412	3	-1	600	0	852	4,34
Instance-20-10-58-0_enc1	0	746	583,94	1	-1	600	0	746	60,7162702083588	3	-1	600	0	745,999999999884	28,92
Instance-20-10-58-1_enc1	0	756	4,01	0	756	28,9061415195465	0	756	11,4496967792511	0	756	51,6664	0	756	0,44
Instance-20-10-58-2_enc1	1	863	600	1	-1	600	0	863	69,5248622894287	3	-1	600	3	865	600,01
Instance-20-10-58-3_enc1	0	770	18,13	1	-1	600	0	770	24,6151003837585	3	-1	600	0	770	0,89
Instance-20-10-58-4_enc1	0	767	8,06	0	767	67,2679266929626	0	767	19,3599224090576	3	-1	600	0	767	5,35
Instance-20-10-58-5_enc1	0	836	179,22	1	836	600	0	836	34,6688387393951	3	-1	600	0	836	5
Instance-20-10-58-6_enc1	0	813	7,24	0	813	71,0497992038727	0	813	16,0782194137573	3	-1	600	0	813	0,57
Instance-20-10-58-7_enc1	0	678	5,31	0	678	26,9175417423248	0	678	13,7514657974243	0	678	229,007	0	678	0,28
Instance-20-10-58-8_enc1	1	798	600	1	798	600	0	798	43,3820033073425	3	-1	600	0	798	60,11
Instance-20-10-58-9_enc1	1	880	600	3	-1	600	1	880	600	3	-1	600	3	-1	600
Instance-20-10-60-0_enc1	0	837	115,82	1	-1	600	0	837	42,8248956203461	3	-1	600	0	837	3,88
Instance-20-10-60-1_enc1	0	790	269,48	1	790	600	0	790	28,4800355434418	3	-1	600	0	790	12,2
Instance-20-10-60-2_enc1	0	868	10,4	1	-1	600	0	868	25,875	3	-1	600	0	868,000000000166	2,94
Instance-20-10-60-3_enc1	0	871	10,51	0	871	41,3051738739014	0	871	16,5317108631134	0	871	92,9682	0	871	0,56
